iter	Passed	Remaining
0	156	156476
1	158	79321
2	161	53770
3	164	40887
4	166	33105
5	168	27910
6	170	24235
7	172	21444
8	174	19233
9	176	17426
10	177	15951
11	178	14724
12	180	13685
13	181	12787
14	184	12107
15	186	11442
16	188	10899
17	191	10439
18	192	9961
19	194	9515
20	195	9115
21	196	8749
22	199	8464
23	200	8156
24	201	7859
25	202	7586
26	203	7328
27	204	7088
28	204	6862
29	205	6652
30	206	6455
31	207	6269
32	207	6094
33	208	5931
34	209	5774
35	210	5626
36	210	5483
37	211	5348
38	212	5243
39	213	5123
40	214	5015
41	215	4905
42	215	4797
43	216	4696
44	216	4600
45	217	4507
46	217	4415
47	218	4329
48	218	4245
49	219	4166
50	219	4089
51	220	4015
52	220	3943
53	221	3874
54	221	3808
55	222	3744
56	222	3683
57	223	3624
58	223	3568
59	224	3516
60	224	3462
61	225	3410
62	225	3359
63	227	3325
64	228	3279
65	228	3235
66	229	3193
67	229	3152
68	230	3110
69	231	3069
70	231	3029
71	231	2990
72	232	2951
73	232	2914
74	233	2877
75	233	2843
76	234	2809
77	234	2775
78	235	2744
79	235	2712
80	236	2682
81	236	2652
82	237	2622
83	237	2594
84	238	2566
85	238	2538
86	239	2511
87	239	2486
88	240	2462
89	243	2457
90	244	2440
91	245	2424
92	246	2407
93	248	2390
94	249	2373
95	250	2356
96	251	2337
97	251	2319
98	252	2302
99	253	2284
100	254	2269
101	255	2252
102	257	2240
103	258	2225
104	259	2211
105	260	2196
106	261	2181
107	262	2167
108	263	2154
109	264	2139
110	265	2125
111	266	2111
112	267	2099
113	268	2084
114	269	2072
115	270	2059
116	271	2045
117	272	2036
118	273	2024
119	274	2013
120	275	2001
121	276	1987
122	277	1975
123	277	1962
124	278	1950
125	279	1939
126	280	1926
127	280	1914
128	281	1903
129	282	1892
130	283	1881
131	284	1870
132	285	1859
133	286	1850
134	287	1841
135	288	1833
136	289	1823
137	290	1813
138	291	1803
139	292	1794
140	292	1784
141	293	1773
142	294	1763
143	294	1753
144	296	1746
145	297	1738
146	298	1729
147	298	1719
148	299	1711
149	300	1702
150	301	1695
151	302	1688
152	303	1681
153	304	1673
154	305	1664
155	306	1657
156	307	1650
157	308	1642
158	309	1635
159	309	1627
160	310	1617
161	311	1611
162	312	1605
163	313	1599
164	314	1592
165	315	1586
166	317	1584
167	319	1579
168	320	1574
169	321	1568
170	322	1561
171	323	1556
172	324	1549
173	325	1543
174	326	1537
175	326	1530
176	327	1524
177	328	1517
178	329	1511
179	330	1504
180	331	1499
181	332	1493
182	333	1488
183	334	1483
184	335	1477
185	336	1471
186	337	1465
187	337	1459
188	338	1453
189	339	1447
190	340	1441
191	341	1436
192	342	1430
193	342	1424
194	343	1419
195	344	1413
196	345	1409
197	346	1404
198	347	1400
199	348	1394
200	349	1389
201	350	1383
202	350	1377
203	351	1372
204	352	1366
205	353	1361
206	353	1355
207	354	1350
208	355	1344
209	356	1339
210	356	1334
211	357	1328
212	358	1323
213	359	1318
214	359	1313
215	360	1310
216	362	1306
217	363	1302
218	364	1298
219	364	1293
220	365	1288
221	366	1284
222	367	1279
223	367	1274
224	368	1269
225	369	1264
226	370	1260
227	370	1255
228	371	1250
229	372	1245
230	372	1240
231	373	1235
232	373	1230
233	374	1226
234	375	1221
235	376	1217
236	377	1214
237	378	1210
238	378	1206
239	379	1202
240	380	1197
241	381	1193
242	381	1189
243	382	1184
244	383	1180
245	383	1175
246	384	1171
247	384	1167
248	385	1162
249	386	1158
250	386	1154
251	387	1150
252	388	1146
253	389	1142
254	389	1138
255	390	1134
256	391	1130
257	391	1127
258	392	1123
259	393	1120
260	394	1117
261	395	1113
262	395	1109
263	396	1105
264	397	1102
265	398	1098
266	398	1095
267	399	1091
268	400	1087
269	400	1084
270	401	1080
271	402	1076
272	403	1073
273	403	1069
274	404	1066
275	405	1062
276	405	1059
277	406	1056
278	407	1053
279	408	1050
280	409	1047
281	410	1044
282	410	1040
283	411	1037
284	412	1033
285	412	1030
286	413	1027
287	414	1023
288	414	1020
289	415	1017
290	416	1014
291	417	1011
292	417	1008
293	418	1005
294	419	1002
295	419	998
296	420	995
297	421	993
298	422	990
299	423	988
300	424	985
301	425	982
302	425	979
303	426	976
304	427	973
305	427	970
306	428	967
307	429	964
308	430	961
309	430	958
310	431	955
311	431	951
312	432	948
313	432	945
314	433	942
315	434	939
316	434	936
317	435	933
318	436	931
319	437	928
320	437	926
321	438	923
322	439	921
323	440	918
324	440	915
325	441	913
326	442	910
327	443	907
328	443	905
329	444	902
330	444	899
331	445	896
332	446	893
333	446	890
